Resource Name,Barcode,Location
Mountain Bluebird (36-I),1645,A-1-1
Swainsons Thrush (37-I),8139,A-1-2
Brown Creeper (33-I),8138,A-1-3
White-Breasted Nuthatch (34-I),8137,A-1-4
American Goldfinch (5-J),2872,A-1-5
American Kestrel-M (12-J),2850,A-1-6
House Sparrow-F (8-J),2871,A-1-8
Northern Mockingbird (9-H),2883,A-1-9
Robin (4-H),1651,A-2-1
American Robin (7-H),2873,A-2-2
Varied Thrush (8-H),8133,A-2-3
Cedar Waxwing (10-H),1640,A-2-4
Yellow Warbler (11-H),1631,A-2-5
Yellow-rumped Warbler (12-H),2880,A-2-6
Rufous-Sided Towhee (13-H),1393,A-2-7
California Towhee (14-H),2512,A-3-1
Savannah Sparrow (15-H),1395,A-3-2
Song Sparrow (16-H),1397,A-3-3
Song Sparrow (17-H),1391,A-3-4
White-Crowned Sparrow (21-H),8136,A-3-5
Dark-eyed Junco (22-H),1616,A-3-6
Black-headed Grosbeak (23-H),1646,A-3-7
Red-winged Blackbird-M (24-H),2876,A-3-8
Red-winged Blackbird-F (25-H),2874,A-3-9
Tri-colored Blackbird (28-H),1608,A-4-1
Western Meadowlark (29-H),8134,A-4-2
Brewer's Blackbird (30-H),2870,A-4-3
Brewer's Blackbird (31-H),1617,A-4-4
Brown-headed Cowbird-F (33-H),1392,A-4-5
Brown-headed Cowbird (34-H),2882,A-4-6
House Finch (male+female w/eggs) (36-H),1630,A-4-7
Heart Model #7,1765,B-2-1
Heart Model #10,1764,B-2-2
Heart Model #9,4696,B-2-3
Lung Demonstration Model,1762,B-2-4
Human Pelvic Ball and Joint Model,2796,B-2-5
Stomach Model,1698,B-2-6
Skin Model,1760,B-3-1
Heart Model,1774,B-3-2
Heart Model,1768,B-3-3
Kidney Model,1783,B-3-4
Kidney Tubules Model,1782,B-3-5
Kidney Model,1781,B-3-6
Kidney Model,1780,B-3-7
Mitosis #1,1932,B-4-1
Mitosis #2,1931,B-4-2
Mitosis #3,1938,B-4-3
Mitosis #4,1937,B-4-4
Mitosis #5,1935,B-4-5
Mitosis #6,1936,B-4-6
Mitosis #7,1933,B-4-7
Mitosis #8,1939,B-4-8
Mitosis #9,1934,B-4-9
Cell Model,1928,B-4-10
Plant Cell,1944,B-4-11
Plant Cell Model,3692,B-4-12
Leaf Cross-Section,1942,B-4-13
Typical Cell Model,1940,B-5-1
Typical Cell Model,1925,B-5-2
Typical Cell Model,1926,B-5-3
Animal Cell Model,1929,B-5-4
Plant Cell Model,1930,B-5-5
Dicot Leaf Cross-Section,1941,B-5-6
Leaf Cross-Section,1943,B-5-7
Flower Model,4664,B-5-8
Eye Model,1690,B-6-1
Eye Model,1689,B-6-2
Eye Model,1687,B-6-3
Ear Model,1681,B-6-4
Ear Model,1682,B-6-5
Single Vertebrate Model with Nerves,1750,B-7-1
Teeth in Mandible,1667,B-7-2
Teeth in Mandible,1671,B-7-3
Spinal Cord and Nerves,1696,B-7-4
Tyodont Tooth Model,1668,B-7-5
Human Jaw- Upper and lower jaw model,1202,B-7-6
Tongue Model,1669,B-7-7
Brain Model in Head,1758,B-7-8
Brain Models,5293,B-7-9
Human Skull with Brain,1662,B-7-10
Large Tooth Brush,1674,B-7-11
Large Mouth Model,1678,B-7-11
Large Tooth Brush,1672,B-7-11
Large Mouth Model,1675,B-7-11
Turtle,8876,C-1-1
California Desert Tortoise Shell,9624,C-1-2
Male California Quail,1648,C-1-3
Black Turnstone,1624,C-1-4
Short-Billed Powitcher,1627,C-1-5
Dunlin,1626,C-1-6
Least Sandpiper,1625,C-1-7
Anna's Hummingbird,8140,C-1-8
Black-chinned Hummingbird,8141,C-1-9
Red-breasted Sapsucker (Sphyrapicus ruber),2869,C-1-10
Black Phoebe,2878,C-1-11
Say's Phoebe,2881,C-1-12
Loggerhead Shrike,1642,C-1-13
American Coot,1633,C-2-1
Yellow-Billed Magpie,8018,C-2-2
Common Murre,8034,C-2-3
Oriole Nest,1611,C-2-4
General Zoology Chart: Vertebrates (Birds),1620,C-2-5
General Zoology Chart: Vertebrates (Birds),1621,C-2-5
General Zoology Chart: Vertebrates (Birds),1622,C-2-5
The Human Body Chart,1177,C-2-6
The Human Body: Cranial Bones,5053,C-2-6
The Human Body: Sensory Organs,5054,C-2-6
Human Biology: Sensory Organs,5055,C-2-6
Human Biology: Mouth,5056,C-2-6
Human Body: Section of the Head/Neck,5057,C-2-6
Dog X-Ray,1277,C-2-7
General Zoology Chart: Vertebrates (Reptiles and Amphibians),1276,C-2-7
General Zoology Chart: Vertebrates (Mammals),1279,C-2-7
General Zoology Chart: Vertebrates (Reptiles and Amphibians),1280,C-2-7
Greater Yellow Legs,2851,C-2-8
Yellow Legs,2867,C-2-9
Forester Tern,1632,C-2-10
Red-necked Phalarope,8135,C-2-11
Stellers Jay,1652,C-2-12
Western Scrub Jay,2868,C-2-13
Western Scrub Jay,1188,C-2-14
Barn Swallow,1387,C-2-15
Aquatic Bird Feet,1605,C-3-1
Aquatic Bird Feet,1619,C-3-2
Hawk Talon,2852,C-3-3
Burrowing Owl,1655,C-3-4
Mourning Dove,1614,C-3-5
Mourning Dove,1386,C-3-6
Male Rufous Hummingbird and Nest,1650,C-3-7
Female Northern Flicker,2909,C-3-8
Female Northern Flicker,2877,C-3-9
Cliff Swallow,1647,C-3-10
Western Bluebird,1348,C-3-11
Acorn Wood Pecker Log (Larder),1606,C-3-12
California Quail (1),8046,D-1-1
American Kestral (2),8042,D-1-2
American Kestral (3),8013,D-1-3
Mourning Dove (4),7642,D-1-4
Screech Owl (5),8016,D-1-5
Western Screech Owl (6),8017,D-1-6
Rufous Hummingbird (7),8004,D-1-7
Rufous Hummingbird (8),8006,D-1-8
Anna's Hummingbird (9),8003,D-1-9
Anna's Hummingbird (10),8012,D-1-10
Anna's Hummingbird (11),8011,D-1-11
Red-Breasted Sapsucker (13),7643,D-1-13
Red-Shafted Flicker (14),8047,D-1-14
Western Scrub-jay (15),8020,D-1-15
Western Scrub Jay (16),8049,D-1-16
Western Scrub Jay (17),8258,D-1-17
Western Scrub Jay (18),8259,D-1-18
Cliff Swallow (19),3689,D-1-19
American Robin (20),8251,D-1-20
American Robin (21),8024,D-1-21
Male Robin (22),1733,D-1-22
American Thrasher (23),8043,D-1-23
Bohemian Waxwing (24),7646,D-1-24
Cedar Waxwing (25),7640,D-1-25
California Towhee (26),7639,D-1-26
California Towhee (27),8028,D-1-27
Song Sparrow (28),8000,D-1-28
Goldened-crowned Sparrow (29),3687,D-1-29
Goldened-crowned Sparrow (30),8009,D-1-30
White-crowned Sparrow (31),8010,D-1-31
Red-winged Blackbird (32),8026,D-1-32
Western Meadowlark (33),8031,D-1-33
Western Meadowlark (34),8033,D-1-34
Brewer's Blackbird (35),8027,D-1-35
House Finch (36),8030,D-1-36
House Finch (37),8029,D-1-37
House Sparrow (38),8007,D-1-38
Canary (39),8025,D-1-39
American Avocet (40),8014,D-1-40
Red-Shafted Flicker (41),7648,D-1-41
Western Scrubjay (42),8019,D-1-42
Western Meadowlark (43),3902,D-1-43
Ring-necked Pheasant Egg (1),8278,D-2-1
Golden Pheasant Egg(2),8279,D-2-2
Guinea Fowl Egg (3),8280,D-2-3
California Quail Eggs (4),8281,D-2-4
Black-crowned Night-heron Egg (5),8282,D-2-5
American Kestrel Eggs (6),8283,D-2-6
Killdeer Egg (7),8284,D-2-7
Western Sandpiper Egg (8),8285,D-2-8
Rock Dove Egg(9),8286,D-2-9
Mourning Dove Eggs (10),8287,D-2-10
Western Screech Owl Eggs (11),8289,D-2-11
Northern Pigmy Owl Egg (12),8290,D-2-12
Black-chinned Hummingbird Egg (13),8291,D-2-13
Pileated Woodpecker Egg (14),8292,D-2-14
Possible Woodpecker Egg (15),8293,D-2-15
Northern Flicker Eggs (16),8294,D-2-16
Western Wood-Peewee Eggs (17),8295,D-2-17
Western Flycatcher Eggs (18),8296,D-2-18
Black Phoebe Eggs(19),8297,D-2-19
Western Kingbird Egg (20),8298,D-2-20
Northern Shrike Eggs (21),8299,D-2-21
Warbling Vireo Eggs (22),8059,D-2-22
Steller's Jay Eggs (23),8060,D-2-23
Western Scrub Jay Eggs(24),8061,D-2-24
Purple Martin Eggs (25),8062,D-2-25
Cliff Swallow Egg (26),8063,D-2-26
Barn Swallow Eggs (27),8064,D-2-27
Wrentit Egg (28),8065,D-2-28
Possible Titmouse Species Eggs (29),8066,D-2-29
American Dipper Egg (30),8067,D-2-30
Chestnut-Backed Chickadee (31),8068,D-2-31
Bushtit Eggs (32),8069,D-2-32
Nuthatch Eggs (33),8070,D-2-33
House Wren Eggs (34),8071,D-2-34
Canyon Wren Eggs (35),8072,D-2-35
Nothern Mockingbird Eggs (36),8073,D-2-36
California Thrasher Eggs (37),8074,D-2-37
Cedar Waxwing Eggs (38),8075,D-2-38
Western Bluebird Eggs (39),8076,D-2-39
Swainson's Thrush Eggs (40),8077,D-2-40
American Robin Eggs (41),8078,D-2-41
Varied Thrasher Egg (42),8079,D-2-42
Orange Crowned Warbler Eggs (43),8080,D-2-43
Nashville Warbler Egg (44),8081,D-2-44
Western Tanager Egg (45),8082,D-2-45
California Towhee Eggs (46),8083,D-2-46
Spotted Towhee Eggs (47),8084,D-2-47
Lark Sparrow Egg (48),8085,D-2-48
Grasshopper Sparrow Egg (49),8086,D-2-49
Song Sparrow Eggs (50),8087,D-2-50
Crowned Sparrow Eggs (51),8088,D-2-51
Dark-eyed Junco Eggs (52),8089,D-2-52
Black-headed Grosbesk Eggs (53),8090,D-2-53
Indigo Bunting Eggs (54),8091,D-2-54
Red-winged Blackbird Egg (55),8092,D-2-55
Bi-colored Blackbird Eggs (56),8093,D-2-56
Western Meadowlark Eggs (57),8094,D-2-57
Brewer's Blackbird Egg (58),8095,D-2-58
Bullock's Oriole Eggs (59),8097,D-2-59
Purple Finch Eggs (60),8096,D-2-60
House Finch Eggs (61),8098,D-2-61
American Goldfinch Eggs (62),8099,D-2-62
House Sparrow Eggs (63),8100,D-2-63
Model Bird Eggs (64),8276,D-2-64
Canada Goose Egg (65),8101,D-2-65
Duck Egg (66),8102,D-2-66
Blue Peacock Egg (67),8103,D-2-67
Wild Turkey Egg (68),8104,D-2-68
Great Blue Heron Egg(69),8105,D-2-69
Red-Tailed Hawk Egg(70),8106,D-2-70
Common Murre Egg (71),8107,D-2-71
Unknown Egg (72),8111,D-2-72
Unknown Egg (73),8109,D-2-73
Unknown Eggs (74),8112,D-2-74
Unknown Egg (75),8113,D-2-75
2 Quail and 1 Dove Eggs (76),1398,D-2-76
California Quail Eggs (77),1612,D-2-77
Cooper's Hawk Eggs (78),8108,D-2-78
Oak Titmouse Nest with Eggs (79),7677,D-2-79
Great Horned Owl Eggs (80),8110,D-2-80
Bird Feather Diversity,8261,D-3-1
Miscellaneous Bird Feathers,3682,D-3-2
